,index,Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
10,10.0,Ноутбук Сила НК2-1404 v2  SN: C223100312 не работает сетевой адаптер.,"Ноутбук Сила НК2-1404 v2  SN:  C223100312 не работает сетевой адаптер.
",Ноутбук,Wi-fi модуль,C223100312
11,11.0,Неисправность Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: C223090725),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: C223090725)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. 
 Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090725
12,12.0,"Зависает система, даже без нагрузки.","Корп. система, и ""голая"" с сайта MS, через некоторое время после старта зависает. Не реагирует ни на накие кнопки
",Ноутбук,Материнская плата,C223102255
13,13.0,dd503.region..ru - Disk 3.2,"Добрый день.
Прошу открыть заявку на замену диска.
dd503.region..ru - Disk 3.2
@dd503-p1(active:1)# system show serial
Serial number: CKM01212505744
@dd503-p1(active:1)# system show model
Model number: DD9900 E
@dd503-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object               Message
-----   ------------------------   --------   ---------------   ------------------   ------------------------------------------------------------------------
m0-34   Mon May 13 13:16:53 2024   WARNING    Storage           Enclosure=3:Disk=2   EVT-STORAGE-00011: Disk has not been added to the system.
m0-35   Mon May 13 13:20:22 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=2   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   ------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd503-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
--------------   ----------------------------------------------------------------------------
1                 s  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  s  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  s  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  . |.  .  . |.  .  . |s  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  R  . |.  .  . |
     B(13-24)    |.  .  . |.  s  . |.  .  . |.  .  . |
     A( 1-12)    |.  F  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  s |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  s |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
--------------   ----------------------------------------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   194
s        Spare Disks                    13
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            60
------   ----------------------------   -----
Total 209 disks
Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg2     3.32             23         895
-----   --------------   --------   ---------
@dd503-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model         Firmware   Serial No.       Capacity   Type
(enc/disk)
----------   ----   ------------------------   --------   --------------   --------   -------
1.1          0      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R232108   1.7 TiB    SAS-SSD
1.2          1      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230064   1.7 TiB    SAS-SSD
1.3          2      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230723   1.7 TiB    SAS-SSD
1.4          3      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230746   1.7 TiB    SAS-SSD
2.1          A0     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V13Q         7.2 TiB    SASe
2.2          A1     SEAGATE STCRSEI1CLAR8000   CA01       WSD4B163         7.2 TiB    SASe
2.3          A2     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T49B         7.2 TiB    SASe
2.4          A3     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1Y1         7.2 TiB    SASe
2.5          A4     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T287         7.2 TiB    SASe
2.6          A5     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SR91         7.2 TiB    SASe
2.7          A6     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0K3         7.2 TiB    SASe
2.8          A7     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0EC         7.2 TiB    SASe
2.9          A8     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SQS0         7.2 TiB    SASe
2.10         A9     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SSSZ         7.2 TiB    SASe
2.11         A10    SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1KH         7.2 TiB    SASe
2.12         A11    SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1Q2         7.2 TiB    SASe
2.13         B0     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SRCF         7.2 TiB    SASe
2.14         B1     SEAGATE STCRSEI1CLAR8000   CA01       WSD172F8         7.2 TiB    SASe
2.15         B2     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0VE         7.2 TiB    SASe
2.16         B3     SEAGATE STCRSEI1CLAR8000   CA01  
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM01212505744
14,14.0,Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600,"При подключение USB наушников, замедляется работа ПК и начинается самопроизвольно меняться раскладка языка на клавиатуре. Обновление драйверов ПК проблема не устранима, с другими наушниками ситуация такая же.",Ноутбук,Консультация,С111120102
15,15.0,Сервер СИЛА СР2-5422  // Вышел из строя сетевой SFP модуль // D252110012,"Добрый день.
На сервере вышел из строя сетевой SFP модуль - нет сигнала
Временно поставили SFP из другого сервера -  сигнал пришел в норму.
Просьба заменить SFP модуль.
Фото сбойного модуля во вложении.",Сервер,SFP модуль,D252110012
16,16.0,Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 512Gb/ С112040045 /инв. 525861_ВЛN,"Ноутбук при загрузке 5-10% отвечает на любые действия с задержкой 2-3 секунды, картинка на экране отключается каждые 2-3 секунды при подключенном мониторе и без него, в логах событий многочисленные сбои видеоядра, отключения сетевого драйвера. Перезагрузки и обновления драйверов с проблемой не помогли. _x000D_
Порт HDMI в ноутбуке уже давно не работает.",Ноутбук,Материнская плата,С112040045
17,17.0,СИЛА НК2-1404 \нет загрузочного  диска\C222091500,"Пропал загрузочный диск._x000D_
При включении попадает в BIOS",Ноутбук,Диск ,C222090950
18,18.0,Неисправность ноутбука Сила NTB49600 (Платформа) - C223090096,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB49600 (S/N: C223090096)
 Описание неисправности – Вышла из строя матрица. В нижней части экрана образовались полосы разной длины, ширины, появилось мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090096
19,19.0,Полосы на экране,"Полосы на экране
",Ноутбук,Матрица,C223010035
20,20.0,HK2-1404 // Не работает зарядное устройство // C223102298,"Перестало работать зарядное устройство. С другим работает корректно.
",Ноутбук,Блок питания,C223102298
21,21.0,НК2-3404 // Мерцание экрана // C223091126,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. _x000D_
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. _x000D_
Известная проблема? _x000D_
_x000D_
Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:_x000D_
C223091001_x000D_
C223091126_x000D_
_x000D_
Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге.",Ноутбук,Матрица,C223091126
22,22.0,Ноутбук не включается,"Ноутбук не включается. Индикатор зарядки активен.
",Ноутбук,Материнская плата,C223010076
23,23.0,Не работает ноутбук,"Добрый день!
Ноутбук C223013256 перестал корректно включаться.
После нажатия на кнопку включения загорается индикатор, но кулер не крутится, изображение не появляется.
Прошу помощи в диагностике неисправности, сброс по питанию проблему не решает.
",Ноутбук,Материнская плата,C223013256
24,24.0,Гарантийный ремонт 2-х ноутбуков СИЛА,"Добрый день! _x000D_
 Выявили дефекты изображения на матрице 2-х приобретённых у вас ноутбуках СИЛА НК2-3404. _x000D_
 Серийные номера: _x000D_
 1)    С223090320 _x000D_
 2)    С223091504 _x000D_
 Прошу организовать работы по гарантийному ремонту. _x000D_
 ",Ноутбук,Матрица,С223090320
25,25.0,HK2-1404 C223013523,"Добрый день! 
 Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013523 
 Неисправности: 
 Повреждена матрица ноутбука(видео прикладываю) 
 ",Ноутбук,Матрица,C223013523
26,26.0,Ноутбук НК2-1404 // Полосы и мерцание на мониторе // C223014561,"Добрый день!
Примите пожалуйста заявку на ремонт. 
Появились полосы и мерцание экрана.
",Ноутбук,Матрица,C223014561
27,27.0,BIOS'ы,"Здравствуйте!
Поделитесь, пожалуйста, последними версиями BIOS на НК2-1404 и НК2-3404.
",Ноутбук,Консультация,"C223010345, С223092735"
28,28.0,"Свежая версия BMC Cube, шаблон для Zabbix","Добрый день!_x000D_
Есть свежая версия BMC Cube для серверов СИЛА CP2-6327?_x000D_
У нас установлена CUBE_63_PLATFORM_1264_2._x000D_
Поддержка мониторинга физических дисков по SNMP еще не добавлена?_x000D_
Шаблон для Zabbix не появился? У нас есть только ""Template Server Gooxi IPMI"".",Сервер,Консультация,D263120004
29,29.0,Требуется замена модуля памяти,Добрый день! Требуется замена модуля памяти. При проведении теста памяти ошибка повторяется. Лог во вложении.,Сервер,Оперативная память,D114030017(FTKY614)
30,30.0,Ноутбук СИЛА HK1-1425/i5-1135G7/1*16G/m.2 256G/B3Y/С111080061/инв. №525315,Не работает HDMI,Ноутбук,Материнская плата,С111080061
31,31.0,Обновление BIOS,"Добрый день. Просьба прислать ссылку на последнюю версию BIOS для HK2-1404_x000D_
И еще вопрос - планируется ли делать корректный портал с драйверами, чтобы можно было зайти и скачать драйвера в разных редакциях? По каждому случаю не удобно писать заявки на предоставление драйверов.",Ноутбук,Консультация,C223010446
32,32.0,Неисправность сервера СИЛА // 46915,"Модель: сервер CP2 – 5422_x000D_
S/N : D252030010_x000D_
 Расположение: КВ7 _x000D_
 Описание: Неисправность системы охлаждения сервера и модуля управления. _x000D_
 Приоритет: 3 _x000D_
 Приоритет: 3 _x000D_
 Дополнительная информация во вложении. _x000D_
 ",Сервер,Сервер,D252030009
33,33.0,СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 6 шт.),"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
s/n:C223011170
s/n:C223102198 
s/n:C223011889 
s/n:C223101201 
s/n:C223100299 
s/n:C223011531 
",Ноутбук,Блок питания,"C223011170, C223102198, C223011889, C223101201, C223100299, C223011531"
34,34.0,Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110015,"Добрый день!_x000D_
После обновления bios и bmc появились ошибки связанные с системными кулерами (скриншот и выгрузка логов во вложении)._x000D_
System_Fan_1 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
System_Fan_2 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
System_Fan_3 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
Сброс логов с последующей перезагрузкой bmc не помогли.",Сервер,Материнская плата,D251110015
35,35.0,СИЛА НК2-1404//Драйверы звука и видео пропадают при перезагрузке // C222090246,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,C222090246
36,36.0,Неприемлемо долгий запуск сервера CP2-5422,"Полный запуск сервера (от нажатия кнопки питания до запуска ОС) выполняется неприемлемо долго - 30 мин._x000D_
При этом время между запуском сервера (нажатием кнопки питания) и появлением текстовой информации о настройке RAID-контроллера составляет примерно 2.5 минуты._x000D_
Такое поведение у серверов D254020003 и D254020002._x000D_
Сервер D254020004 запускается в разы быстрее - за 3.5 минуты._x000D_
Аппаратная конфигурация серверов D254020003 и D254020002 абсолютно одинаковая._x000D_
Сервер D254020004 отличается от предыдущих серверов наличием RAID-6 из 6 SSD (на первых двух серверах нет RAID'а, только по 1 SSD, при этом RAID-контроллер есть у всех серверов)._x000D_
Программная конфигурация у всех трех серверов одинаковая:_x000D_
- Версия BIOS'а: SILA 015 rev 8.3;_x000D_
- Версия BMC: 1264_4;_x000D_
- ОС: AstraLinux SE 1.7.5.16, ядро 6.1.50-generi._x000D_
Журнал POST-кодов и журнал событий за этап загрузки проблемного сервера во вложении",Сервер,Программное обеспечение,D254020003
37,37.0,мерцает экран ноутбука,"мерцает экран ноутбука

",Ноутбук,Матрица,C223091623
38,38.0,СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 5 шт.)// C223012998 C223101389 C223102298  C223100876 C223100050,"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
Серийный номера:
C223012998
C223101389 
C223102298  
C223100876 
C223100050
",Ноутбук,Блок питания,C223012998 C223101389  C223102298   C223100876  C223100050
39,39.0,Сила КУБ: запрос на обновление прошивки,"Добрый день._x000D_
У нас на тестировании находится сервер СР2-6327._x000D_
Текущие версии прошивок:_x000D_
BMC Firmware Revision_x000D_
0.31.020012_x000D_
BMC Firmware Build Time_x000D_
Dec 30 2022 15:34:31 CST_x000D_
BIOS Revision_x000D_
902_x000D_
BIOS Name_x000D_
G4DCL_x000D_
BIOS Firmware Build Time_x000D_
12/26/2022 16:13:00_x000D_
CPLD Revision_x000D_
07_x000D_
CPLD Name_x000D_
G4DCL_x000D_
CPLD Build Time_x000D_
11/22/2022_x000D_
Просим предоставить актуальные версии прошивок и инструкции по их обновлению._x000D_
",Сервер,Консультация,D263090003
40,40.0,заявка на гарантийный ремонт\замену,"Добрый день.
Серийный номер: С223013250
Неисправность: блок питания не подает заряд
Уточните, пожалуйста, как мы можем заменить неработающий блок питания?
",Ноутбук,Блок питания,C223013250
41,41.0,HK2-1404 // Не работает кнопка влючения и jack 3.5 // C223011660,"Не работает кнопка влючения и jack 3.5

Это не гарантийный ремонт, т.к. jack 3.5 отсутствует по вине пользователя.

",Ноутбук,Клавиатура,C223011660
42,42.0,"СИЛА НК2-3205 // Перечень проблем с ноутбуками СИЛА // Проблемы при подключении к док-станции, второго монитора //  C233041042","Коллеги, добрый день!_x000D_
Есть ряд ноутбуков которыми пользуются наши сотрудники, у которых возникают общие проблемы, а так же, индивидуальные._x000D_
Привожу несколько ноутбуков с описанием проблем от пользователей: _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
СИЛА HK2 3205 №C233041042_x000D_
1)Если подключена док-станция , то часто , не работает USB-C гарнитура(но видна как устройство) . Помогает только отключить док-станцию и гарнитуру -> подключить гарнитуру -> подключить док-станцию . Док станция HP USB-C G5 5TW10AA_x000D_
2)Не корректно работает со вторым монитором через HDMI . Если при открытой крышке ноутбука , подключить второй монитор , то на дисплее ноутбука начинаем ""моргать"" изображение , а второй монитор не загорается . Помогает только акрытие крышки , ноутбука и затем только подключение второго монитора . Монитор имеет разрешение 3440х1440. Если же подключить  через док-станцию, то проблем не наблюдается .",Ноутбук,Программное обеспечение,C233041042
43,43.0,СИЛА HK2-1404 // Не работает зарядное устройство // C223011088,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223011088
44,44.0,Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120,"Не работает HDMI_x000D_
_x000D_
Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120",Ноутбук,Материнская плата,С111080030
45,45.0,Неисправность Ноутбук СИЛА НК2-3404 - NTB48179 S/N: C223091624,"Добрый день!
Ноутбук СИЛА НК2-3404 - NTB48179 S/N: C223091624
Описание неисправности – вышла из строя система охлаждения центрального процессора. Во время работы вентилятора слышны треск и гул, наблюдается перегрев ЦП. На ноутбуке нет следов физического воздействия, неисправность аппаратная.
",Ноутбук,Корпус,C223091624
46,46.0,Сервер СР2-5422 // После обновления bios и bmc перестал работать BMC // D251110011,"Привет! Обновили BIOS и BMC до последней версии (SILA_015_bios_rev8_3/CUBE 1.5)._x000D_
Доступ к серверу по IPMI пропал. В BIOS настраивать BMC (повесить IP и тд) можно, но сервер по bmc не пингуется и не доступен по веб соответственно._x000D_
Пробовали отключать питание на 10 минут. Отключать в BIOS bmc функцию и снова включать. Проблема осталась.",Сервер,Материнская плата,D251110011
47,47.0,"СИЛА НК2-1404 // Рябь, мерцание //C223014073","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание.",Ноутбук,Матрица,C223014954
48,48.0,"Синий экран, предположительно память.","При загрузке системы через 15-30 секунд ПК падает в синий экран с разными ошибками. Пробовали переустановить ОС - на переустановке также синий экран._x000D_
Есть подозрения на модуль ОЗУ. При его замене ПК работает стабильно.",Ноутбук,Оперативная память,С223010395
49,49.0,HK2-1404 // Проблема с портом type-c // C223012095,"Добрый день!
Не работает один порт type-c.

",Ноутбук,Материнская плата,C223012095
50,50.0,Гарантийный ремонт,"При включении нового ноутбука из коробки, на экране были обнаружены ""помехи""",Ноутбук,Матрица,С223091324
51,51.0,С223091153 - мерцает экран,"Мерцает экран
при подключении дисплеев - дисплеи не мерцают
",Ноутбук,Матрица,С223091153
52,52.0,полосы на матрице НК2-3404 C223090893,"Полосы на матрице. 
",Ноутбук,Матрица,C223090893
53,53.0,СИЛА НК2-3404  // мерцающая матрица // C223090123,"Привет, Коллеги.
Снова мерцающие полосы у Силы.  

Серийник: C223090123",Ноутбук,Материнская плата,C223090123
54,54.0,"10552. СИЛА HK-1404 // замена блоков питания // C223010423, C223011174","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223010423, C223011174"
55,55.0,Ноутбук СИЛА HK-1404 не заряжается с type-c портов,"Laptops: ноутбук не заряжается. Проверено несколько зарядок, работающих на других ноутбуках.
SILA NK2-1404 i7	C223011046
",Ноутбук,Материнская плата,C223011046
56,56.0,СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223011355,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223011355
57,57.0,Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256G/B3Y/ инв. № 525325/ С111080029,"не рабочий HDMI (повторная поломка HDMI, ранее была  Заявка IBS-8588 )",Ноутбук,Материнская плата,С111080029
58,58.0,Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N: C223091505,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48447 (S/N: C223091505)
 Описание неисправности – вышла из строя матрица. По всей площади экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223091505
59,59.0,Перестал включаться,"Перестал включаться
",Ноутбук,Материнская плата,C223092664
60,60.0,HK2-1404 // Не работает зарядное устройство // C223011313,"Не работает зарядное устройство_x000D_
",Ноутбук,Блок питания,C223011313
61,61.0,СИЛА НК2-1404 // Отвалился разъем type c // C223012413,Отвалился разъем type c  на зарядном устройстве,Ноутбук,Блок питания,C223012413
62,62.0,Заряд аккумулятора,"Отсутствие заряда аккумулятора, использовались несколько исправных БП для проверки, ноутбук оставался подключенным к БП около суток, светодиод заряда постоянно оранжевого цвета, при отключении БП, ноутбук мгновенно выключается.",Ноутбук,Аккумулятор,C223100567
63,63.0,"СИЛА CX-1015-12 // HDD fault //  s/n E213120001. Вышел из строя диск, пришедший на замену по гарантии.","Вышел из строя диск, пришедший на замену по гарантии.  Был в резерве проработал 2 месяца. Прошу открыть заявку на ремонт (замену диска).",СХД,Диск,Е213120001
64,64.0,Драйвера НК2-3404 на WIn10x64,"Добрый день._x000D_
Просьба выложить актуальные драйвера для НК2-3404 на WIn10x64. На сайте присутствуют только драйвера для Win11. + Сделать разбивку для чего какой драйвер идет._x000D_
Также просьба обратить внимание на драйвера для звука. Есть проблема, что при подключении внешних звуковых устройств. Проявляется в 2х вариантах:_x000D_
1) Звук попросту не идет, хотя в диспетчере подключенное оборудование отображается. Подключение устройств через USB. При отключении стороннего устройства - звук через ноутбук идет корректно._x000D_
2) Про подключении док-станции иконка звука в правом нижнем углу становится перечеркнутой, как будто звуковых устройств нет совсем. Лечится только принудительной перезагрузкой с кнопки (часто еще и не с первого раза помогает, приходится по 3-4 раза перезагружать).",Ноутбук,Консультация,C223091496
65,65.0,Полосы и мерцание на мониторе,На ноутбуку СИЛА НК2-3404 появились полосы и мерцание экрана (фото во вложении).,Ноутбук,Матрица,C223090716
66,66.0,глитч матрицы,"После установки windows, матрица начала давать сбой, появление черных полос на экране хаотичное выключение 
экрана, 
после обновления драйверов, проблема не ушла, драйвера скачивали на оф сайте Сила.",Ноутбук,Матрица,C223093014
67,67.0,Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N: C223090552,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48532 (S/N: C223090552)
 Описание неисправности – вышла из строя матрица. В верхней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090552
68,68.0,Заявка на гарант,"Здравствуйте!
Ноутбук C223094573 периодически мерцает экран. 
 Еще один ноутбук C223094545 сегодня забирают на ремонт. Могу ли я отдать сразу оба? 
",Ноутбук,Матрица,C223094573
69,69.0,Неисправность диска Enclosure=6:Disk=32 dd202,"Коллеги, добрый день._x000D_
Прошу открыть кейс по неисправному диску на оборудовании Data Domain:_x000D_
sysadmin@dd202-p1(active:0)# alerts show current_x000D_
Id       Post Time                  Severity   Class               Object                         Message_x000D_
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------_x000D_
p0-86    Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                                  EVT-SMTOOL-00001: Error communicating with mail server._x000D_
p0-133   Fri Jul  5 20:42:39 2024   CRITICAL   HardwareFailure     Enclosure=1:DIMM=MR6 DIMM D0   EVT-DIMM-00003: A memory card has failed_x000D_
m0-56    Thu Jul 25 22:18:11 2024   CRITICAL   HardwareFailure     Enclosure=6:Disk=32            EVT-STORAGE-00002: Unable to access a disk and the disk state is failed._x000D_
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------_x000D_
There are 3 active alerts._x000D_
sysadmin@dd202-p1(active:0)#_x000D_
",СХД,Диск,CKM00194301861 // E419120013
70,70.0,СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012685 C223012673 C223011958 C223011355 C223012788,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012685
71,71.0,"Ноутбук СИЛА HK-1404 // замена блоков питания // C223012682, C223011343, C223011380","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223012682, C223011343, C223011380"
